epoch,batch,batch_loss,elapsed_s,data_wait_s,compute_s,timestamp_utc
8,500,-22.478689,545.7,0.21,23.91,2026-06-18T05:39:00:00Z
8,550,-20.979904,599.7,0.19,21.83,2026-06-18T05:39:53:00Z
8,600,-21.457882,653.5,0.17,20.1,2026-06-18T05:40:47:00Z
8,650,-21.849335,707.5,0.16,18.64,2026-06-18T05:41:41:00Z
8,700,-21.648153,761.4,0.15,17.38,2026-06-18T05:42:35:00Z
8,750,-21.862719,815.3,0.14,16.3,2026-06-18T05:43:29:00Z
8,800,-21.89813,869.2,0.13,15.35,2026-06-18T05:44:23:00Z
8,850,-22.408653,923.1,0.12,14.51,2026-06-18T05:45:17:00Z
8,900,-22.811604,977.0,0.12,13.76,2026-06-18T05:46:11:00Z
8,950,-21.947309,1031.0,0.11,13.09,2026-06-18T05:47:05:00Z
8,1000,-22.767635,1085.0,0.1,12.49,2026-06-18T05:47:59:00Z
8,1050,-22.00753,1138.9,0.1,11.95,2026-06-18T05:48:53:00Z
8,1100,-22.351068,1192.8,0.09,11.45,2026-06-18T05:49:47:00Z
8,1150,-21.987436,1246.7,0.09,11.0,2026-06-18T05:50:41:00Z
8,1200,-22.978134,1300.7,0.09,10.59,2026-06-18T05:51:34:00Z
8,1250,-21.988611,1354.6,0.08,10.21,2026-06-18T05:52:28:00Z
8,1300,-22.430511,1408.4,0.08,9.86,2026-06-18T05:53:22:00Z
8,1350,-21.941626,1462.4,0.08,9.53,2026-06-18T05:54:16:00Z
8,1400,-22.742167,1516.2,0.07,9.23,2026-06-18T05:55:10:00Z
8,1450,-20.861443,1570.1,0.07,8.95,2026-06-18T05:56:04:00Z
8,1500,-21.646269,1623.9,0.07,8.69,2026-06-18T05:56:58:00Z
9,50,-22.827438,60.7,2.22,261.75,2026-06-18T05:58:01:00Z
9,100,-21.928392,114.6,1.11,131.41,2026-06-18T05:58:55:00Z
9,150,-22.396046,168.5,0.74,87.97,2026-06-18T05:59:49:00Z
9,200,-21.654364,222.4,0.55,66.25,2026-06-18T06:00:43:00Z
9,250,-22.503839,276.3,0.44,53.21,2026-06-18T06:01:37:00Z
9,300,-21.456156,330.2,0.37,44.52,2026-06-18T06:02:31:00Z
9,350,-22.483152,384.1,0.32,38.32,2026-06-18T06:03:24:00Z
9,400,-21.042351,438.0,0.28,33.66,2026-06-18T06:04:18:00Z
9,450,-22.238308,491.9,0.25,30.04,2026-06-18T06:05:12:00Z
9,500,-22.73592,545.8,0.22,27.14,2026-06-18T06:06:06:00Z
9,550,-21.858902,599.7,0.2,24.78,2026-06-18T06:07:00:00Z
9,600,-20.637342,653.7,0.19,22.8,2026-06-18T06:07:54:00Z
9,650,-22.948059,707.6,0.17,21.13,2026-06-18T06:08:48:00Z
9,700,-22.359821,761.4,0.16,19.7,2026-06-18T06:09:42:00Z
9,750,-22.115778,815.4,0.15,18.46,2026-06-18T06:10:36:00Z
9,800,-21.350338,869.2,0.14,17.37,2026-06-18T06:11:30:00Z
9,850,-22.244341,923.1,0.13,16.41,2026-06-18T06:12:24:00Z
9,900,-21.70969,977.0,0.12,15.56,2026-06-18T06:13:17:00Z
9,950,-22.00849,1030.9,0.12,14.8,2026-06-18T06:14:11:00Z
9,1000,-20.95364,1084.9,0.11,14.11,2026-06-18T06:15:05:00Z
9,1050,-22.229141,1138.7,0.11,13.49,2026-06-18T06:15:59:00Z
9,1100,-21.892561,1192.6,0.1,12.93,2026-06-18T06:16:53:00Z
9,1150,-22.363894,1246.5,0.1,12.41,2026-06-18T06:17:47:00Z
9,1200,-22.100063,1300.4,0.09,11.94,2026-06-18T06:18:41:00Z
9,1250,-22.350418,1354.3,0.09,11.5,2026-06-18T06:19:35:00Z
9,1300,-21.713482,1408.3,0.09,11.1,2026-06-18T06:20:29:00Z
9,1350,-22.176933,1462.2,0.08,10.73,2026-06-18T06:21:23:00Z
9,1400,-22.464405,1516.1,0.08,10.39,2026-06-18T06:22:16:00Z
9,1450,-22.40122,1570.0,0.08,10.07,2026-06-18T06:23:10:00Z
9,1500,-23.052389,1623.9,0.07,9.77,2026-06-18T06:24:04:00Z
10,50,-22.52516,61.4,2.38,294.13,2026-06-18T06:25:08:00Z
10,100,-22.338875,123.4,1.27,147.6,2026-06-18T06:26:10:00Z
10,150,-21.380566,177.3,0.85,98.76,2026-06-18T06:27:04:00Z
10,200,-22.772427,231.2,0.64,74.34,2026-06-18T06:27:58:00Z
10,250,-23.362923,285.1,0.51,59.69,2026-06-18T06:28:52:00Z
10,300,-21.650309,339.0,0.42,49.92,2026-06-18T06:29:46:00Z
10,350,-22.804056,393.0,0.36,42.94,2026-06-18T06:30:40:00Z
10,400,-21.838154,446.9,0.32,37.71,2026-06-18T06:31:34:00Z
10,450,-22.724319,500.8,0.28,33.64,2026-06-18T06:32:28:00Z
10,500,-22.964811,554.8,0.25,30.38,2026-06-18T06:33:22:00Z
10,550,-22.058062,608.7,0.23,27.72,2026-06-18T06:34:16:00Z
10,600,-22.486233,662.6,0.21,25.5,2026-06-18T06:35:10:00Z
10,650,-22.707232,716.5,0.2,23.62,2026-06-18T06:36:03:00Z
10,700,-22.770899,770.5,0.18,22.01,2026-06-18T06:36:57:00Z
10,750,-22.122118,824.4,0.17,20.61,2026-06-18T06:37:51:00Z
10,800,-22.378927,878.3,0.16,19.39,2026-06-18T06:38:45:00Z
10,850,-22.076654,932.2,0.15,18.32,2026-06-18T06:39:39:00Z
10,900,-22.020823,986.1,0.14,17.36,2026-06-18T06:40:33:00Z
10,950,-21.949591,1040.0,0.13,16.5,2026-06-18T06:41:27:00Z
10,1000,-21.536009,1093.9,0.13,15.73,2026-06-18T06:42:21:00Z
10,1050,-22.390835,1147.8,0.12,15.03,2026-06-18T06:43:15:00Z
10,1100,-22.78635,1201.7,0.12,14.4,2026-06-18T06:44:09:00Z
10,1150,-23.332336,1255.7,0.11,13.82,2026-06-18T06:45:03:00Z
10,1200,-22.502787,1309.6,0.11,13.29,2026-06-18T06:45:57:00Z
10,1250,-23.001431,1363.5,0.1,12.8,2026-06-18T06:46:50:00Z
10,1300,-22.140759,1417.4,0.1,12.35,2026-06-18T06:47:44:00Z
10,1350,-22.348127,1471.3,0.09,11.93,2026-06-18T06:48:38:00Z
10,1400,-22.691044,1525.2,0.09,11.54,2026-06-18T06:49:32:00Z
10,1450,-22.527088,1579.1,0.09,11.18,2026-06-18T06:50:26:00Z
10,1500,-23.078695,1633.0,0.09,10.85,2026-06-18T06:51:20:00Z
11,50,-22.559282,60.2,2.77,326.51,2026-06-18T06:52:27:00Z
11,100,-22.589907,114.1,1.39,163.8,2026-06-18T06:53:21:00Z
11,150,-21.632706,168.0,0.92,109.56,2026-06-18T06:54:15:00Z
11,200,-22.491837,221.9,0.69,82.44,2026-06-18T06:55:09:00Z
11,250,-22.210472,275.8,0.55,66.16,2026-06-18T06:56:03:00Z
11,300,-23.232246,329.7,0.46,55.32,2026-06-18T06:56:57:00Z
11,350,-20.808969,383.7,0.4,47.57,2026-06-18T06:57:50:00Z
11,400,-21.808231,437.6,0.35,41.76,2026-06-18T06:58:44:00Z
11,450,-23.019915,491.5,0.31,37.24,2026-06-18T06:59:38:00Z
11,500,-22.226334,546.1,0.28,33.62,2026-06-18T07:00:33:00Z
11,550,-22.5282,600.1,0.25,30.66,2026-06-18T07:01:27:00Z
11,600,-23.044125,654.0,0.23,28.2,2026-06-18T07:02:21:00Z
11,650,-22.093498,707.9,0.21,26.11,2026-06-18T07:03:15:00Z
11,700,-21.900955,761.9,0.2,24.32,2026-06-18T07:04:09:00Z
11,750,-21.967766,815.8,0.19,22.77,2026-06-18T07:05:03:00Z
11,800,-21.512806,869.7,0.17,21.42,2026-06-18T07:05:57:00Z
11,850,-22.189657,923.6,0.16,20.22,2026-06-18T07:06:50:00Z
11,900,-22.76829,977.5,0.16,19.16,2026-06-18T07:07:44:00Z
11,950,-22.476477,1031.4,0.15,18.21,2026-06-18T07:08:38:00Z
11,1000,-22.169336,1085.3,0.14,17.35,2026-06-18T07:09:32:00Z
11,1050,-22.806261,1139.3,0.13,16.57,2026-06-18T07:10:26:00Z
11,1100,-22.139223,1193.1,0.13,15.87,2026-06-18T07:11:20:00Z
11,1150,-22.594625,1247.0,0.12,15.23,2026-06-18T07:12:14:00Z
11,1200,-23.032972,1300.9,0.12,14.64,2026-06-18T07:13:08:00Z
11,1250,-22.177053,1354.9,0.11,14.1,2026-06-18T07:14:02:00Z
11,1300,-23.129204,1408.8,0.11,13.59,2026-06-18T07:14:56:00Z
11,1350,-22.266792,1462.6,0.1,13.13,2026-06-18T07:15:49:00Z
11,1400,-22.551691,1516.6,0.1,12.7,2026-06-18T07:16:43:00Z
11,1450,-21.837009,1570.5,0.1,12.3,2026-06-18T07:17:37:00Z
11,1500,-22.393106,1624.3,0.09,11.93,2026-06-18T07:18:31:00Z
12,50,-22.223715,61.1,2.95,358.89,2026-06-18T07:19:35:00Z
12,100,-21.996498,114.9,1.47,179.98,2026-06-18T07:20:29:00Z
12,150,-21.713604,168.8,0.98,120.35,2026-06-18T07:21:22:00Z
12,200,-22.094687,222.7,0.74,90.53,2026-06-18T07:22:16:00Z
12,250,-23.724144,276.6,0.59,72.64,2026-06-18T07:23:10:00Z
12,300,-23.108276,330.6,0.49,60.71,2026-06-18T07:24:04:00Z
